area_code,representative_zip,city,region,country
201,07304,Jersey City,New Jersey,United States
202,20005,Washington,District of Columbia,United States
203,06511,New Haven,Connecticut,United States
204,R2C2W4,Winnipeg,Manitoba,Canada
205,35204,Birmingham,Alabama,United States
206,98154,Seattle,Washington,United States
207,04345,Gardiner,Maine,United States
208,83401,Idaho Falls,Idaho,United States
209,95242,Lodi,California,United States
210,78206,San Antonio,Texas,United States
212,10010,New York,New York,United States
213,90044,Los Angeles,California,United States
214,75398,Dallas,Texas,United States
215,19107,Philadelphia,Pennsylvania,United States
216,44126,Cleveland,Ohio,United States
217,62522,Decatur,Illinois,United States
218,56762,Warren,Minnesota,United States
219,46407,Gary,Indiana,United States
224,60048,Libertyville,Illinois,United States
225,70814,Baton Rouge,Louisiana,United States
228,39562,Moss Point,Mississippi,United States
229,31757,Thomasville,Georgia,United States
231,49305,Barryton,Michigan,United States
234,44410,Cortland,Ohio,United States
239,34112,Naples,Florida,United States
240,20680,Ridge,Maryland,United States
248,48075,Southfield,Michigan,United States
250,V0B1A0,Boswell,British Columbia,Canada
251,36528,Dauphin Island,Alabama,United States
252,27804,Rocky Mount,North Carolina,United States
253,98372,Puyallup,Washington,United States
254,76541,Killeen,Texas,United States
256,35016,Arab,Alabama,United States
260,47369,Pennville,Indiana,United States
262,53066,Oconomowoc,Wisconsin,United States
267,18917,Dublin,Pennsylvania,United States
269,49053,Galesburg,Michigan,United States
270,42754,Leitchfield,Kentucky,United States
276,24382,Wytheville,Virginia,United States
281,77084,Houston,Texas,United States
301,20607,Accokeek,Maryland,United States
302,19958,Lewes,Delaware,United States
303,80012,Aurora,Colorado,United States
304,25202,Tornado,West Virginia,United States
305,33122,Miami,Florida,United States
306,S7K8B7,Saskatoon,Saskatchewan,Canada
307,83001,Jackson,Wyoming,United States
308,68622,Bartlett,Nebraska,United States
309,61603,Peoria,Illinois,United States
310,90249,Gardena,California,United States
312,60661,Chicago,Illinois,United States
313,48204,Detroit,Michigan,United States
314,63129,Saint Louis,Missouri,United States
315,13202,Syracuse,New York,United States
316,67010,Augusta,Kansas,United States
317,46204,Indianapolis,Indiana,United States
318,71303,Alexandria,Louisiana,United States
319,52641,Mount Pleasant,Iowa,United States
320,56385,Villard,Minnesota,United States
321,32805,Orlando,Florida,United States
323,90014,Los Angeles,California,United States
325,76802,Early,Texas,United States
330,44691,Wooster,Ohio,United States
331,60134,Geneva,Illinois,United States
334,36312,Ashford,Alabama,United States
336,28668,Roaring Gap,North Carolina,United States
337,70515,Basile,Louisiana,United States
339,02043,Hingham,Massachusetts,United States
340,00802,St Thomas,U.S. Virgin Islands,United States
347,11238,Brooklyn,New York,United States
351,01923,Danvers,Massachusetts,United States
352,34608,Spring Hill,Florida,United States
360,98632,Longview,Washington,United States
361,77905,Victoria,Texas,United States
386,32148,Interlachen,Florida,United States
401,02893,West Warwick,Rhode Island,United States
402,68370,Hebron,Nebraska,United States
403,T2E6M4,Calgary,Alberta,Canada
404,30308,Atlanta,Georgia,United States
405,73195,Oklahoma City,Oklahoma,United States
406,59347,Rosebud,Montana,United States
407,32792,Winter Park,Florida,United States
408,95131,San Jose,California,United States
409,75979,Woodville,Texas,United States
410,21601,Easton,Maryland,United States
